summoner,summoner_id,games,leaguePoints,losses,rank,tier,wins,win_ratio
godacaes03,BVb-iGEKg5-cgy1cSqbxzZ4-bOVcosOESan32jHLu-dApXg,20,93,4,I,GOLD,16,80.0
SQRT Crisco,pd0dZCZDSNzIQhufTqD-EG5xXxwDw4YqNaoWguImYTlMBQ,82,48,32,I,DIAMOND,50,60.98
ShinyGreen,AIOLlG0RLjSQwd9wMY84R-StTGvt86FD-I9MLlERYJ9vJg,122,94,51,II,DIAMOND,71,58.2
omarr619,LtjSL_GNk6dihNrTfwtGzFOEJjcwajDvxdSi9Ub_8BGPLoo,134,53,56,I,MASTER,78,58.21
GoodGus,L71qajmC4yMDt4e4mw_6PO2LHwR1qeyH9qx4EU8wQ9KSzno,164,96,72,I,MASTER,92,56.1
Tonny Walker,Hxa3UyoTkGTWnauwt1hsAxxCAb8yLahQiYjUA43BHsO_t0g,165,0,76,I,MASTER,89,53.94
Emmma,u-3TkDmq8N4b26wmUCF_Iu99663GEpaGcFDplGTsVfEEaw,175,0,56,I,MASTER,119,68.0
cesar baker,G_wD7H4tNeiPgMSBU10iS1xXNbFuWlXE0HKL4fZzVWvXrZ0,208,493,84,I,GRANDMASTER,124,59.62
RiseOoCP9,bGssXQLov0JxrW4NultxC7Z8X2lfKfGpEvuuwgHhS1wL,209,68,105,III,DIAMOND,104,49.76
Slyo,i0iEzQj0mpc6mBWP-b3gphPdY_o4kVeY88Rw6rBal-tE1Q,232,1062,191,I,CHALLENGER,41,
HG Winnie,jMsAyHC1IbG6uo6wCNgHK1nkBwfRdNxA9ElcCQs3zv5-wg,243,244,104,I,MASTER,139,57.2
Juxmon,gOtikXmAtadEnbey9mzxUpkZMUlMjwFmllcVpM2mHn0,315,0,147,I,MASTER,168,53.33
Tacca,tZ4CVETGQa-7EOeUVac9yMKN27Ty36S08PsxDfiu7AxaaQ,322,830,136,I,GRANDMASTER,186,57.76
Wiskaz,OTPKb7-Rae-PWg0TAAc2RjGy8r7z4t4HhfSRHSCW-T4z28c,327,970,121,I,CHALLENGER,206,63.0
ESTa THORNAVA,dkGFjusmDvq3FyRLeBV73IHs0mtVWF35t7sGe3qN0idJxX0,377,154,174,I,MASTER,203,53.85
GNG MrMugui,W16UbvPmC3WB8c7XKL9ZF0sFLtdPTmnTRouhB2MOkWjQxA,387,631,157,I,GRANDMASTER,230,59.43
leviatar1,VrfdY8w7rNHyQFiqEUAXdWrTGBg4mIdEdpDG5ZLnY333TqU,457,128,219,I,MASTER,238,52.08
INPA TKSUBA,SIJHF4QaRpKJIcSshL_dgN9inLpMYfHxcbTrZEatd8p1wPM,462,94,236,I,MASTER,226,48.92
Salchipapa009,G9cRm7B7awQ86ENwYjnBVTd7ZA12zsnrm08kebl6TVLuwA,507,1239,200,I,CHALLENGER,307,60.55
CHA Señor Cerdo,HaiRvXGnxNn1fgZkNLLCupAOxKp7-jAgnSQYlNFUKVc,591,1642,209,I,CHALLENGER,382,64.64
Calcifer A60,odYm3PrZ0vL7WUjWfXeiwobgDQRWMguLVF6DlgH0X2ic,597,1650,212,I,CHALLENGER,385,64.49
ESTa HyperSpace,8mmav9Tt3Gw_dCTXeGkniM_HFtSxodA2FMGC44KARoY,650,1225,269,I,CHALLENGER,381,58.62
INP KAPPAYIPYIP,tv0JXxZZPthc7uwW8UxCGyyGs92AHWApkhbbLC3v8t7wMA,653,47,315,I,MASTER,338,51.76
TFT GOD OF DEATH,ND-hG-Oy8GbrZweLJZ-2aOVqpnkRKvre9CKsDHtLq6xpI7ZOkQL3sIfobQ,702,1020,289,I,CHALLENGER,413,58.83
